name,type,variable,value,year,crime_type
"Colorado Springs, Colorado",place,rate,80.1737181,2010,Forcible rape
"Colorado Springs, Colorado",place,rate,4.163900372,2012,Murder and nonnegligent manslaughter
"Colorado Springs, Colorado",place,rate,3744.807402,2011,Property crime
"Colorado Springs, Colorado",place,rate,21.12601669,2014,Arson
"Colorado Springs, Colorado",place,rate,30.51960287,2006,Arson
"Colorado Springs, Colorado",place,rate,3.734817965,2009,Murder and nonnegligent manslaughter
"Colorado Springs, Colorado",place,rate,84.84136957,2013,Rape (revised definition)
"Colorado Springs, Colorado",place,rate,4167.545654,2013,Property crime
"Colorado Springs, Colorado",place,rate,336.2464073,2006,Aggravated assault
"Colorado Springs, Colorado",place,rate,3029.510965,2010,Larceny
"Colorado Springs, Colorado",place,rate,491.8494242,2010,Violent crime
"Colorado Springs, Colorado",place,rate,2881.419057,2012,Larceny
"Colorado Springs, Colorado",place,rate,440.19071,2011,Violent crime
"Colorado Springs, Colorado",place,rate,458.2547663,2014,Violent crime
"Colorado Springs, Colorado",place,rate,530.5897699,2007,Violent crime
"Colorado Springs, Colorado",place,rate,323.7108116,2010,Motor vehicle theft
"Colorado Springs, Colorado",place,rate,162.4173649,2006,Robbery
"Colorado Springs, Colorado",place,rate,4220.806965,2010,Property crime
"Colorado Springs, Colorado",place,rate,3049.922966,2008,Larceny
"Colorado Springs, Colorado",place,rate,141.1342058,2007,Robbery
"Colorado Springs, Colorado",place,rate,867.5851877,2010,Burglary
"Colorado Springs, Colorado",place,rate,849.7455308,2007,Burglary
"Colorado Springs, Colorado",place,rate,17.58091268,2012,Arson
"Colorado Springs, Colorado",place,rate,25.13282699,2010,Arson
"Colorado Springs, Colorado",place,rate,29.13565991,2007,Arson
"Colorado Springs, Colorado",place,rate,264.1761241,2009,Motor vehicle theft
"Colorado Springs, Colorado",place,rate,8272.858238,2014,All Crimes
"Colorado Springs, Colorado",place,rate,25.1477743,2009,Arson
"Colorado Springs, Colorado",place,rate,2578.767311,2009,Larceny
"Colorado Springs, Colorado",place,rate,9940.071422,2007,All Crimes
"Colorado Springs, Colorado",place,rate,4424.878111,2007,Property crime
"Colorado Springs, Colorado",place,rate,620.0710643,2014,Burglary
"Colorado Springs, Colorado",place,rate,369.9300369,2014,Motor vehicle theft
"Colorado Springs, Colorado",place,rate,132.19867,2010,Robbery
"Colorado Springs, Colorado",place,rate,247.2894165,2012,Aggravated assault
"Colorado Springs, Colorado",place,rate,82.81535184,2012,Forcible rape
"Colorado Springs, Colorado",place,rate,3177.658028,2007,Larceny
