key,id,name,type,variable,value,year,crime_type,place_name
1600000US0816000--2011--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,25.25490937,2011,Arson,"Colorado Springs, CO"
1600000US0816000--2011--Arson--count,1600000US0816000,"Colorado Springs, Colorado",place,count,107,2011,Arson,"Colorado Springs, CO"
1600000US0816000--2011--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,8395.251133,2011,All Crimes,"Colorado Springs, CO"
1600000US0816000--2011--All Crimes--count,1600000US0816000,"Colorado Springs, Colorado",place,count,35569,2011,All Crimes,"Colorado Springs, CO"
1600000US0816000--2011--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,252.7851208,2011,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2011--Aggravated assault--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1071,2011,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2010--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,491.8494242,2010,Violent crime,"Colorado Springs, CO"
1600000US0816000--2010--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1957,2010,Violent crime,"Colorado Springs, CO"
1600000US0816000--2010--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,132.19867,2010,Robbery,"Colorado Springs, CO"
1600000US0816000--2010--Robbery--count,1600000US0816000,"Colorado Springs, Colorado",place,count,526,2010,Robbery,"Colorado Springs, CO"
1600000US0816000--2010--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4220.806965,2010,Property crime,"Colorado Springs, CO"
1600000US0816000--2010--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,16794,2010,Property crime,"Colorado Springs, CO"
1600000US0816000--2010--Murder and nonnegligent manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,5.026565398,2010,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2010--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,20,2010,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2010--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,323.7108116,2010,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2010--Motor vehicle theft--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1288,2010,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2010--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3029.510965,2010,Larceny,"Colorado Springs, CO"
1600000US0816000--2010--Larceny--count,1600000US0816000,"Colorado Springs, Colorado",place,count,12054,2010,Larceny,"Colorado Springs, CO"
