key,id,name,type,variable,value,year,crime_type,place_name
1600000US4827000--2007--Larceny--rate,1600000US4827000,"Fort Worth, Texas",place,rate,3725.6986430453276,2007,Larceny,"Fort Worth, TX"
1600000US4827000--2006--Larceny--count,1600000US4827000,"Fort Worth, Texas",place,count,24128.0,2006,Larceny,"Fort Worth, TX"
1600000US4827000--2006--Forcible rape--rate,1600000US4827000,"Fort Worth, Texas",place,rate,38.488388037746674,2006,Forcible rape,"Fort Worth, TX"
1600000US4827000--2013--Violent crime--count,1600000US4827000,"Fort Worth, Texas",place,count,4420.0,2013,Violent crime,"Fort Worth, TX"
1600000US4827000--2007--Property crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,5469.119254263874,2007,Property crime,"Fort Worth, TX"
1600000US4827000--2010--Robbery--count,1600000US4827000,"Fort Worth, Texas",place,count,1330.0,2010,Robbery,"Fort Worth, TX"
1600000US4827000--2006--Burglary--count,1600000US4827000,"Fort Worth, Texas",place,count,8998.0,2006,Burglary,"Fort Worth, TX"
1600000US4827000--2011--Robbery--rate,1600000US4827000,"Fort Worth, Texas",place,rate,167.41476976174778,2011,Robbery,"Fort Worth, TX"
1600000US4827000--2011--Murder and nonnegligent manslaughter--count,1600000US4827000,"Fort Worth, Texas",place,count,48.0,2011,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2010--Motor vehicle theft--rate,1600000US4827000,"Fort Worth, Texas",place,rate,330.10330465024987,2010,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2012--Robbery--rate,1600000US4827000,"Fort Worth, Texas",place,rate,166.211964404669,2012,Robbery,"Fort Worth, TX"
1600000US4827000--2013--Rape (legacy definition)--rate,1600000US4827000,"Fort Worth, Texas",place,rate,0.0,2013,Rape (legacy definition),"Fort Worth, TX"
1600000US4827000--2007--Larceny--count,1600000US4827000,"Fort Worth, Texas",place,count,24988.0,2007,Larceny,"Fort Worth, TX"
1600000US4827000--2012--Property crime--count,1600000US4827000,"Fort Worth, Texas",place,count,32514.0,2012,Property crime,"Fort Worth, TX"
1600000US4827000--2016--All Crimes--count,1600000US4827000,"Fort Worth, Texas",place,count,65354.0,2016,All Crimes,"Fort Worth, TX"
